batch_id,tree,leaf1,leaf2,leaf3
739,1,0.17,0.12,0.15
739,2,0.1,0.19,0.16
739,3,0.17,0.12,0.21
739,4,0.17,0.24,0.21
739,5,0.13,0.15,0.15
739,6,0.12,0.16,0.11
739,7,0.09,0.19,0.16
739,8,0.2,0.23,0.21
739,9,0.14,0.11,0.1
739,10,0.17,0.06,0.17
740,1,0.39,0.17,0.26
740,2,0.24,0.32,0.2
740,3,0.23,0.2,0.17
740,4,0.18,0.21,0.18
740,5,0.16,0.17,0.16
740,6,0.2,0.21,0.23
740,7,0.2,0.17,0.21
740,8,0.25,0.22,0.14
740,9,0.22,0.37,0.25
740,10,0.24,0.25,0.25
960,1,0.13,0.11,0.06
960,2,0.16,0.13,0.21
960,3,0.14,0.13,0.12
960,4,0.18,0.12,0.12
960,5,0.12,0.13,0.1
2061,1,1.08,1.36,1.05
2061,2,0.52,0.69,0.82
2061,3,0.99,1.18,1.99
2061,4,0.77,0.5,1.15
2061,5,0.95,1.21,1.53
2061,6,0.52,0.35,1.73
2061,7,1.08,1.63,0.53
2061,8,2.81,2.26,2.01
2061,9,1.53,1.3,1.31
2061,10,0.69,0.69,0.51
26083,1,0.18,0.1,0.2
26162,1,0.17,0.17,0.11
26162,2,0.11,0.08,0.12
26162,3,0.08,0.18,0.16
26162,4,0.2,0.17,0.08
26162,5,0.1,0.14,0.07
26162,6,0.1,0.14,0.15
26162,7,0.09,0.09,0.13
26543,1,0.19,0.12,0.11
26543,2,0.14,0.08,0.15
26543,3,0.08,0.03,0.14
26543,4,0.04,0.06,0.03
26543,5,0.05,0.21,0.1
26543,6,0.14,0.17,0.15
26543,7,0.19,0.2,0.17
26543,8,0.15,0.19,0.19
26543,9,0.04,0.06,0.08
26543,10,0.09,0.11,0.05
26612,1,0.07,0.04,0.02
26612,2,0.04,0.06,0.03
26612,3,0.1,0.11,0.06
26612,4,0.07,0.08,0.1
26612,5,0.11,0.08,0.04
26612,6,0.04,0.05,0.04
26612,7,0.06,0.06,0.03
26612,8,0.02,0.06,0.05
26612,9,0.09,0.11,0.1
26627,1,0.14,0.11,0.09
26627,2,0.15,0.1,0.11
26627,3,0.13,0.1,0.08
26627,4,0.08,0.17,0.18
26627,5,0.13,0.14,0.14
26627,6,0.08,0.1,0.07
26627,7,0.16,0.15,0.13
26627,8,0.11,0.12,0.11
26627,9,0.1,0.06,0.06
26627,10,0.13,0.09,0.1
26658,1,0.14,0.12,0.17
26658,2,0.11,0.09,0.09
26658,3,0.12,0.12,0.14
26658,4,0.13,0.1,0.1
26658,5,0.07,0.06,0.06
26706,1,0.22,0.22,0.24
26706,2,0.29,0.26,0.11
26706,3,0.14,0.13,0.07
26706,4,0.13,0.14,0.14
26706,5,0.29,0.19,0.24
26706,6,0.19,0.18,0.17
26749,1,0.12,0.11,0.15
26749,2,0.5,0.15,
26749,3,0.15,0.9,0.08
26749,4,0.17,0.13,0.21
26749,5,0.13,0.12,0.18
26749,6,0.25,0.21,0.2
26749,7,0.24,0.2,0.23
26749,8,0.15,0.13,0.19
26749,9,0.15,0.16,0.18
26749,10,0.17,0.2,0.14
26750,1,0.27,0.1,0.23
26750,2,0.14,0.12,0.15
26750,3,0.21,0.23,0.26
26750,4,0.05,0.25,0.24
26750,5,0.27,0.22,0.23
26750,6,0.24,0.24,0.32
26750,7,0.14,0.1,0.19
26750,8,0.2,0.17,0.13
32821,1,0.69,0.56,0.56
32821,2,0.53,0.36,0.46
32821,3,0.39,0.45,0.5
32885,2,0.49,0.41,0.3
32885,3,0.8,0.44,0.5
32885,4,0.73,0.94,1.46
32885,5,0.61,0.87,0.48
32885,6,0.32,0.21,0.43
32885,7,0.57,0.23,0.41
32885,8,0.34,0.23,0.3
33032,1,1.06,0.46,0.48
33032,2,0.64,0.29,0.32
33032,3,0.31,0.47,0.33
33032,4,0.67,0.45,0.55
33032,5,0.41,0.4,0.53
33032,6,0.36,0.54,0.42
33034,1,0.3,0.15,0.33
33034,2,0.36,0.28,0.74
33034,3,0.24,0.22,0.56
33034,4,0.25,0.3,0.37
33034,5,0.26,0.22,0.32
33034,6,0.32,0.47,0.47
33034,7,0.32,0.23,0.27
33034,8,0.44,0.45,0.41
33034,9,0.68,0.67,0.54
33034,10,0.24,0.27,0.19
33071,1,0.39,0.88,0.71
33071,2,0.36,0.43,0.27
33071,3,0.45,0.48,0.42
33071,4,0.37,0.36,0.36
33071,5,1.56,1.18,0.96
33071,6,0.69,0.34,0.47
33071,7,0.48,0.92,0.34
33071,8,0.4,0.48,0.35
33071,9,0.7,0.85,0.66
33465,2,0.5,0.45,0.39
33465,4,0.61,0.65,0.42
33465,5,0.5,0.55,0.54
33467,1,0.32,0.34,0.28
33467,3,0.21,0.22,0.27
33467,4,0.27,0.15,0.33
33572,1,0.8,0.98,0.9
33572,2,0.75,0.59,0.65
33572,3,0.63,0.52,1.15
33572,4,0.6,0.41,0.56
33572,5,0.95,0.98,0.95
33572,6,0.73,1.01,0.67
33572,8,0.54,0.47,0.4
33572,9,0.71,0.59,0.71
33572,10,1.09,0.65,0.6
33573,1,0.01,0.02,0.03
33573,2,0.01,0.03,0.01
33573,3,0.06,0.02,0.04
33573,4,0.13,0.15,0.14
33573,5,0.05,0.04,0.06
33573,6,0.02,0.06,0.12
33573,7,0.12,0.12,0.12
33573,8,0.1,0.05,0.09
33573,9,0.07,0.07,0.04
33573,10,0.03,0.04,0.03
33684,1,0.43,0.6,0.35
33684,2,0.51,0.65,0.43
33684,3,0.45,0.89,0.66
33684,4,0.4,0.38,0.59
33684,5,0.44,0.48,0.34
33684,6,0.39,0.43,0.5
33684,7,0.51,0.43,0.46
33684,8,0.53,0.43,0.54
33684,9,0.54,0.68,0.56
33684,10,0.33,0.31,0.25
34019,1,0.24,0.34,0.34
34019,2,0.43,0.21,0.4
34019,3,0.21,0.42,0.4
34019,4,0.33,0.3,0.27
34019,5,0.41,0.27,0.41
34041,1,0.11,0.14,0.16
34041,2,0.06,0.03,0.02
34041,3,0.09,0.09,0.09
34041,4,0.11,0.12,0.12
34041,5,0.08,0.04,0.09
34041,6,0.11,0.13,0.15
34041,7,0.05,0.04,0.07
34041,8,0.04,0.06,0.05
34041,9,0.12,0.12,0.17
34041,10,0.06,0.07,0.1
34084,1,0.25,0.24,0.34
34084,2,0.23,0.32,0.27
34084,3,0.21,0.25,0.27
34084,4,0.41,0.34,0.27
34084,5,0.3,0.47,0.41
34084,6,0.4,0.3,0.26
34084,7,0.18,0.22,0.28
34084,8,0.35,0.23,0.34
34084,9,0.21,0.29,0.23
34084,10,0.15,0.25,0.18
34137,1,0.39,0.39,0.43
34137,2,0.13,0.16,0.15
34137,3,0.12,0.11,0.15
34137,4,0.39,0.44,0.4
34137,5,0.24,0.13,0.13
34137,6,0.48,0.45,0.39
34137,7,0.27,0.23,0.25
34137,8,0.36,0.54,0.21
34137,9,0.11,0.17,0.11
34179,1,0.17,0.24,0.28
34179,2,0.29,0.31,0.27
34179,3,0.24,0.25,0.41
34179,4,0.35,0.57,0.47
34179,5,0.66,0.24,0.44
34179,6,0.36,0.32,0.37
34179,7,0.2,0.27,0.26
34179,8,0.43,0.22,0.49
34796,1,0.27,0.31,0.21
34796,2,0.18,0.2,0.15
34796,3,0.17,0.23,0.19
34796,4,0.24,0.23,0.2
34796,5,0.18,0.16,0.13
34796,6,0.29,0.24,0.21
34796,7,0.24,0.22,0.23
34796,8,0.25,0.2,0.27
34796,9,0.26,0.28,0.17
34796,10,0.24,0.26,0.2
34802,1,0.54,0.62,0.33
34802,2,0.21,0.33,0.18
34802,3,0.4,0.62,0.4
34802,4,0.61,0.81,0.56
34802,5,0.77,0.17,0.19
34802,6,0.37,0.56,0.5
34802,7,0.62,0.74,0.36
34802,8,0.6,0.6,0.43
34802,9,0.59,0.29,0.92
34802,10,0.5,0.56,0.32
34937,1,0.29,0.28,0.38
34937,2,0.26,0.21,0.21
34937,3,0.17,0.2,0.17
34937,4,0.13,0.14,0.14
34994,1,0.41,0.61,0.39
34994,2,0.53,0.75,0.61
34994,3,0.7,0.35,0.45
34994,4,0.41,0.4,0.46
34994,5,0.57,0.44,0.55
34994,6,0.4,0.44,0.38
34994,7,0.32,0.48,0.4
34994,8,0.42,0.45,0.35
34994,9,0.5,0.38,0.33
34994,10,0.7,0.69,0.65
35025,1,0.85,0.4,0.46
35025,2,0.59,0.35,0.45
35025,3,0.52,0.31,0.55
35025,4,0.44,0.81,0.63
35025,5,0.58,0.67,0.67
35025,6,0.6,0.59,0.84
35027,1,0.39,0.33,0.29
35027,2,0.41,0.37,0.37
35027,3,0.15,0.18,0.22
35027,4,0.31,0.26,0.29
35027,5,0.32,0.29,0.4
35027,6,0.26,0.16,0.22
35027,7,0.28,0.38,0.32
35027,8,0.35,0.21,0.23
35027,9,0.31,0.25,0.38
35027,10,0.39,0.27,0.31
35468,1,0.2,0.17,0.17
35468,2,0.14,0.15,0.32
35468,3,0.21,0.13,0.18
35468,4,0.1,0.15,0.18
35468,5,0.2,0.26,0.13
35468,6,0.22,0.16,0.19
35468,7,0.16,0.17,0.16
35468,8,0.12,0.15,0.15
35468,9,0.15,0.19,0.11
35468,10,0.17,0.29,0.14
35469,1,0.26,0.12,0.13
35469,2,0.14,0.13,0.17
35469,3,0.16,0.18,0.19
35469,4,0.1,0.19,0.23
35469,5,0.11,0.1,0.12
35469,6,0.12,0.12,0.12
35469,7,0.12,0.15,0.14
35469,8,0.07,0.1,0.09
35469,9,0.1,0.06,0.11
35469,10,0.14,0.19,0.18
35470,1,0.11,0.13,0.12
35470,2,0.1,0.06,0.18
35470,3,0.07,0.09,0.11
35470,4,0.11,0.18,0.14
35470,5,0.07,0.1,0.09
35470,6,0.07,0.05,0.07
35470,7,0.11,0.1,0.14
35470,8,0.1,0.17,0.11
35470,9,0.13,0.08,0.16
35470,10,0.07,0.04,0.11
35552,1,0.32,0.22,0.19
35552,2,0.38,0.77,0.45
35552,3,0.64,0.56,0.49
35552,4,1.05,0.34,0.54
35552,5,0.41,0.36,0.41
35552,6,0.5,0.87,0.58
35552,7,0.36,0.58,0.31
35552,8,0.68,0.47,0.49
35552,9,0.52,0.74,0.37
35552,10,0.74,0.68,0.6
35683,1,0.42,0.3,0.39
35683,2,0.35,0.21,0.33
35683,3,0.45,0.36,0.47
35683,4,0.52,0.37,0.36
35683,5,0.19,0.13,0.25
35683,6,0.24,0.26,0.22
35683,7,0.34,0.29,0.32
35683,8,0.22,0.22,0.36
35683,9,0.65,0.3,0.35
35683,10,0.26,0.34,0.35
35686,1,0.52,0.53,0.69
35686,2,0.51,0.42,0.84
35686,3,0.61,0.63,0.41
35686,4,0.35,0.43,0.17
35686,6,0.58,0.27,0.36
35686,10,0.74,0.61,0.51
35690,1,0.27,0.25,0.27
35690,2,0.23,0.21,0.2
35690,3,0.21,0.19,0.2
35690,4,0.22,0.19,0.16
35690,5,0.2,0.26,0.21
35690,6,0.28,0.22,0.24
35690,7,0.2,0.22,0.2
35690,8,0.08,0.07,0.13
35690,9,0.31,0.24,0.12
35690,10,0.12,0.27,0.24
35742,1,0.59,0.34,0.64
35742,2,0.42,0.37,0.41
35742,3,0.37,0.25,0.26
35742,4,0.41,0.36,0.23
35742,5,0.33,0.4,0.37
35742,6,0.23,0.26,0.25
35742,7,0.16,0.27,0.33
35742,8,0.35,0.22,0.39
35742,9,0.24,0.29,0.26
35742,10,0.27,0.2,0.2
35753,2,0.58,0.51,0.56
35753,3,0.87,0.78,0.65
35753,4,0.61,0.54,0.41
35753,5,0.51,0.27,0.56
35753,6,0.4,0.52,0.52
35753,8,0.58,0.69,0.58
35757,1,2.12,2.89,3.72
35757,2,3.77,3.33,2.81
35757,3,2.61,3.4,2.81
35776,1,0.25,0.33,0.29
35776,3,0.19,0.34,0.22
35776,4,0.16,0.14,0.14
35776,5,0.19,0.18,0.22
35776,6,0.18,0.32,0.28
35776,7,0.18,0.19,0.2
35776,8,0.21,0.19,0.16
35776,9,0.2,0.16,0.15
35776,10,0.31,0.2,0.19
36029,1,0.13,0.06,0.11
36029,2,0.05,0.03,0.07
36029,3,0.04,0.04,0.03
36029,4,0.07,0.02,0.13
36029,5,0.05,0.08,0.08
36029,6,0.09,0.05,0.08
36029,7,0.04,0.03,0.06
36029,8,0.03,0.03,0.03
36029,9,0.06,0.06,0.04
36029,10,0.04,0.03,0.03
36172,1,0.19,0.13,0.17
36172,2,0.11,0.09,0.1
36172,3,0.1,0.1,0.11
36172,4,0.12,0.17,0.13
36172,5,0.08,0.09,0.07
36172,6,0.07,0.03,0.08
36172,7,0.11,0.07,0.09
36172,8,0.12,0.13,0.18
36172,9,0.05,0.08,0.08
36172,10,0.11,0.08,0.09
