batch_id,species,volume,treenumb,canopy_top,canopy_bottom,branchper30,maxbranchradius
1158,acer_freemanii_autumnblaze,100,1,298.6,76,6,62
1158,acer_freemanii_autumnblaze,100,2,289.6,85,6,93
1158,acer_freemanii_autumnblaze,100,3,303.4,61,4,52
1158,acer_freemanii_autumnblaze,100,4,280.9,60,10,50
1158,acer_freemanii_autumnblaze,100,5,298.6,59,9,92
1158,acer_freemanii_autumnblaze,100,6,332.7,57,2,100
1158,acer_freemanii_autumnblaze,100,7,348.6,84,5,98
1158,acer_freemanii_autumnblaze,100,8,296.9,51,7,58
1158,acer_freemanii_autumnblaze,100,9,317.3,83,6,85
1158,acer_freemanii_autumnblaze,100,10,311.6,65,8,92
35025,corymbia_maculata,200,1,520.4,101,4,85
35025,corymbia_maculata,200,2,534.6,103,5,84
35025,corymbia_maculata,200,3,498.6,65,3,110
35025,corymbia_maculata,200,4,495.6,102,5,77
35025,corymbia_maculata,200,5,524.4,107,7,76
35025,corymbia_maculata,200,6,325.6,97,7,90
26453,eucalyptus_sideroxylon,25,1,215,12,18,58
26454,eucalyptus_sideroxylon,25,2,220,20,8,88
26455,eucalyptus_sideroxylon,25,3,210,16,18,86
26456,eucalyptus_sideroxylon,25,4,200,13,17,58
26457,eucalyptus_sideroxylon,25,5,220,17,14,72
26458,eucalyptus_sideroxylon,25,6,175,20,13,51
26459,eucalyptus_sideroxylon,25,7,200,10,9,74
26460,eucalyptus_sideroxylon,25,8,215,10,9,75
26461,eucalyptus_sideroxylon,25,9,220,23,14,66
26462,eucalyptus_sideroxylon,25,10,166,13,18,62
1146,lophostemon_confertus,25,1,189,9,5,48
1146,lophostemon_confertus,25,2,193,34,3,82
1146,lophostemon_confertus,25,3,130,8,6,62
1146,lophostemon_confertus,25,4,202,24,10,57
35683,angophora_costata,25,1,130,24,10,41
35683,angophora_costata,25,2,128,21,10,42
35683,angophora_costata,25,3,122,20,10,42
35683,angophora_costata,25,4,124,23,10,39
35683,angophora_costata,25,5,116,26,5,37
35683,angophora_costata,25,6,144,20,10,43
35683,angophora_costata,25,7,127,28,11,43
35683,angophora_costata,25,8,117,17,10,33
35683,angophora_costata,25,9,104,24,8,34
35683,angophora_costata,25,10,109,17,8,36
25686,corymbia_maculata,25,1,164,21,10,56
25686,corymbia_maculata,25,2,106,17,4,42
25686,corymbia_maculata,25,3,156,19,3,41
25686,corymbia_maculata,25,4,145,13,8,42
25686,corymbia_maculata,25,5,90,12,9,45
25686,corymbia_maculata,25,6,67,11,11,28
25686,corymbia_maculata,25,7,116,13,3,27
25686,corymbia_maculata,25,8,137,12,8,41
25686,corymbia_maculata,25,9,142,14,9,36
25686,corymbia_maculata,25,10,152,12,10,62
33684,araucaria_heterophylla,45,1,240,26,11,65
33684,araucaria_heterophylla,45,2,270,35,11,62
33684,araucaria_heterophylla,45,3,294,32,8,62
33684,araucaria_heterophylla,45,4,280,30,7,64
33684,araucaria_heterophylla,45,5,280,23,8,79
33684,araucaria_heterophylla,45,6,280,30,12,69
33684,araucaria_heterophylla,45,7,290,27,12,70
33684,araucaria_heterophylla,45,8,280,25,11,70
33684,araucaria_heterophylla,45,9,260,22,7,65
33684,araucaria_heterophylla,45,10,270,25,14,80
26612,jacaranda_mimosifolia,25,1,183,76,3,45
26612,jacaranda_mimosifolia,25,2,150,70,3,34
26612,jacaranda_mimosifolia,25,3,158,73,4,29
26612,jacaranda_mimosifolia,25,4,194,60,2,42
26612,jacaranda_mimosifolia,25,5,192,80,3,90
2061,magnolia_grandiflora_exmouth,45,1,180,67,4,91
2061,magnolia_grandiflora_exmouth,45,2,180,90,7,80
2061,magnolia_grandiflora_exmouth,45,3,170,60,5,90
2061,magnolia_grandiflora_exmouth,45,4,160,64,4,50
2061,magnolia_grandiflora_exmouth,45,5,190,65,3,50
2061,magnolia_grandiflora_exmouth,45,6,165,47,1,50
2061,magnolia_grandiflora_exmouth,45,7,180,73,1,68
2061,magnolia_grandiflora_exmouth,45,8,160,60,4,94
2061,magnolia_grandiflora_exmouth,45,9,167,62,4,60
2061,magnolia_grandiflora_exmouth,45,10,179,69,5,67
34776,waterhousea_floribunda,35,1,169,18,10,48
34776,waterhousea_floribunda,35,2,160,20,8,40
34776,waterhousea_floribunda,35,3,146,16,11,49
34776,waterhousea_floribunda,35,4,154,15,12,60
34776,waterhousea_floribunda,35,5,137,15,18,49
34776,waterhousea_floribunda,35,6,124,14,15,55
34776,waterhousea_floribunda,35,7,118,20,8,49
34776,waterhousea_floribunda,35,8,129,16,14,64
34776,waterhousea_floribunda,35,9,122,19,10,59
34776,waterhousea_floribunda,35,10,144,18,13,40
35690,eucalyptus_pilularis,25,1,112,17,9,60
35690,eucalyptus_pilularis,25,2,82,6,16,48
35690,eucalyptus_pilularis,25,3,95,10,11,50
35690,eucalyptus_pilularis,25,4,95,8,10,49
35690,eucalyptus_pilularis,25,5,107,4,10,49
35690,eucalyptus_pilularis,25,6,104,6,12,43
35690,eucalyptus_pilularis,25,7,107,4,11,44
35690,eucalyptus_pilularis,25,8,105,4,12,44
35690,eucalyptus_pilularis,25,9,120,4,10,48
35690,eucalyptus_pilularis,25,10,114,14,10,50
36172,eucalyptus_saligna,25,1,104,10,10,47
36172,eucalyptus_saligna,25,2,116,10,10,46
36172,eucalyptus_saligna,25,3,110,9,7,42
36172,eucalyptus_saligna,25,4,95,4,8,44
36172,eucalyptus_saligna,25,5,120,8,12,48
36172,eucalyptus_saligna,25,6,130,2,11,52
36172,eucalyptus_saligna,25,7,136,13,11,49
36172,eucalyptus_saligna,25,8,130,3,7,45
36172,eucalyptus_saligna,25,9,120,9,8,35
36172,eucalyptus_saligna,25,10,120,5,5,54
36029,fraxinus_griffithii,25,1,110,38,8,36
36029,fraxinus_griffithii,25,2,120,53,5,48
36029,fraxinus_griffithii,25,3,116,55,8,31
36029,fraxinus_griffithii,25,4,120,38,5,41
36029,fraxinus_griffithii,25,5,110,57,5,34
36029,fraxinus_griffithii,25,6,110,50,6,24
36029,fraxinus_griffithii,25,7,117,38,5,35
36029,fraxinus_griffithii,25,8,140,43,6,48
36029,fraxinus_griffithii,25,9,118,45,3,49
36029,fraxinus_griffithii,25,10,105,34,6,32
26627,callistemon_kingsparkspecial,25,1,152,3,14,39
26627,callistemon_kingsparkspecial,25,2,151,9,8,31
26627,callistemon_kingsparkspecial,25,3,190,6,7,74
26627,callistemon_kingsparkspecial,25,4,170,8,12,86
26627,callistemon_kingsparkspecial,25,5,160,5,13,60
26627,callistemon_kingsparkspecial,25,6,160,2,7,40
26627,callistemon_kingsparkspecial,25,7,168,2,9,70
26627,callistemon_kingsparkspecial,25,8,180,17,6,78
26627,callistemon_kingsparkspecial,25,9,159,3,8,72
26627,callistemon_kingsparkspecial,25,10,160,5,10,68
34019,angophora_costata,600,1,463.1,116,8,163
34019,angophora_costata,600,2,464,121,10,93
34019,angophora_costata,600,3,492.5,110,7,26
34019,angophora_costata,600,4,481.2,123,7,119
34019,angophora_costata,600,5,521.2,117,9,109
35027,eucalyptus_saligna,1000,1,540.8,185,3,153
35027,eucalyptus_saligna,1000,2,534,197,5,130
35027,eucalyptus_saligna,1000,3,595.5,176,4,143
35027,eucalyptus_saligna,1000,4,559.7,170,6,170
35027,eucalyptus_saligna,1000,5,579,200,2,144
35027,eucalyptus_saligna,1000,6,582.6,187,2,190
35027,eucalyptus_saligna,1000,7,545.7,174,5,175
35027,eucalyptus_saligna,1000,8,522.4,185,4,170
35027,eucalyptus_saligna,1000,9,577,180,1,186
35027,eucalyptus_saligna,1000,10,583.4,177,5,183
26750,eucalyptus_saligna,300,1,471.5,109,6,144
26750,eucalyptus_saligna,300,2,522.4,96,5,183
26750,eucalyptus_saligna,300,3,499,110,3,135
26750,eucalyptus_saligna,300,4,563.2,102,8,110
26750,eucalyptus_saligna,300,5,472.4,90,4,138
26750,eucalyptus_saligna,300,6,438.9,84,4,149
26750,eucalyptus_saligna,300,7,472.9,94,3,123
26750,eucalyptus_saligna,300,8,500.6,119,3,110
32885,lophostemon_confertus,300,1,426.3,77,4,95
32885,lophostemon_confertus,300,2,441.8,69,4,106
32885,lophostemon_confertus,300,3,439.8,84,6,98
32885,lophostemon_confertus,300,4,488,132,3,115
32885,lophostemon_confertus,300,5,483.5,94,5,113
32885,lophostemon_confertus,300,6,457.2,94,5,125
32885,lophostemon_confertus,300,7,444.4,78,5,125
32885,lophostemon_confertus,300,8,401.2,53,3,116
1948,ulmus_parvifolia,200,1,399.1,99,6,130
1948,ulmus_parvifolia,200,2,321.5,98,12,103
1948,ulmus_parvifolia,200,3,387.7,107,8,110
1948,ulmus_parvifolia,200,4,350.2,98,5,110
1948,ulmus_parvifolia,200,5,338.2,107,6,160
1948,ulmus_parvifolia,200,6,348.6,97,10,135
1948,ulmus_parvifolia,200,7,378.7,89,11,90
1948,ulmus_parvifolia,200,8,379.6,87,8,100
1948,ulmus_parvifolia,200,9,348.1,135,8,140
1948,ulmus_parvifolia,200,10,330.8,105,5,105
33071,corymbia_maculata,400,1,478.4,133,3,130
33071,corymbia_maculata,400,2,458,136,5,100
33071,corymbia_maculata,400,3,455.6,122,7,95
33071,corymbia_maculata,400,4,486.4,168,4,100
33071,corymbia_maculata,400,5,479.4,117,5,111
33071,corymbia_maculata,400,6,544.5,135,3,120
33071,corymbia_maculata,400,7,523.5,156,1,125
33071,corymbia_maculata,400,8,505.6,171,7,108
33071,corymbia_maculata,400,9,458.3,113,5,110
35742,angophora_costata,100,1,320.1,50,8,77
35742,angophora_costata,100,2,318.9,58,3,54
35742,angophora_costata,100,3,321.9,53,5,66
35742,angophora_costata,100,4,287,40,6,63
35742,angophora_costata,100,5,299.7,38,6,68
35742,angophora_costata,100,6,281.7,43,5,65
35742,angophora_costata,100,7,303.2,45,6,52
35742,angophora_costata,100,8,330,48,3,64
35742,angophora_costata,100,9,310.6,38,5,55
35742,angophora_costata,100,10,317,44,5,88
33573,ulmus_parvifolia,400,1,343.6,121,6,110
33573,ulmus_parvifolia,400,2,368.5,120,8,130
33573,ulmus_parvifolia,400,3,372.2,120,4,125
33573,ulmus_parvifolia,400,4,360.8,116,9,140
33573,ulmus_parvifolia,400,5,347.5,113,7,120
33573,ulmus_parvifolia,400,6,333.1,114,5,125
33573,ulmus_parvifolia,400,7,316.4,95,6,140
33573,ulmus_parvifolia,400,8,356.8,102,5,195
33573,ulmus_parvifolia,400,9,340.9,115,7,110
33573,ulmus_parvifolia,400,10,366.4,110,7,100
35776,eucalyptus_pilularis,100,1,415.2,102,5,70
35776,eucalyptus_pilularis,100,2,524,101,8,90
35776,eucalyptus_pilularis,100,3,453.4,114,6,80
35776,eucalyptus_pilularis,100,4,462.1,120,4,60
35776,eucalyptus_pilularis,100,5,470.4,83,5,70
35776,eucalyptus_pilularis,100,6,441.5,90,4,60
35776,eucalyptus_pilularis,100,7,441.5,96,7,70
35776,eucalyptus_pilularis,100,8,493.4,106,7,65
35776,eucalyptus_pilularis,100,9,475.6,107,6,60
35776,eucalyptus_pilularis,100,10,515.7,94,6,55
33465,lophostemon_confertus,100,1,375.2,40,6,75
33465,lophostemon_confertus,100,2,380.1,40,6,50
33465,lophostemon_confertus,100,3,367.1,40,4,100
33465,lophostemon_confertus,100,4,383.5,44,6,70
33465,lophostemon_confertus,100,5,419.5,40,8,80
33465,lophostemon_confertus,100,6,371.1,48,5,60
33465,lophostemon_confertus,100,7,365.6,49,5,60
33465,lophostemon_confertus,100,8,437.2,38,4,110
33465,lophostemon_confertus,100,9,439,37,5,95
33465,lophostemon_confertus,100,10,439,40,6,80
35470,olea_europea,100,1,275,120,4,45
35470,olea_europea,100,2,26,80,8,50
35470,olea_europea,100,3,237.5,80,6,55
35470,olea_europea,100,4,262.8,75,10,50
35470,olea_europea,100,5,256.1,85,3,40
35470,olea_europea,100,6,259,62,3,40
35470,olea_europea,100,7,268.1,80,4,45
35470,olea_europea,100,8,233.3,78,4,55
35470,olea_europea,100,9,245.9,75,4,42
35470,olea_europea,100,10,254.5,83,3,40
35469,olea_europea,65,1,270.9,84,7,55
35469,olea_europea,65,2,232.4,65,3,70
35469,olea_europea,65,3,217.4,73,5,50
35469,olea_europea,65,4,278.7,60,5,45
35469,olea_europea,65,5,278.7,70,7,71
35469,olea_europea,65,6,248,86,8,46
35469,olea_europea,65,7,248,67,6,54
35469,olea_europea,65,8,281.3,71,4,62
35469,olea_europea,65,9,221.7,62,5,54
35469,olea_europea,65,10,224.5,79,7,45
34084,banksia_integrifolia,400,1,325.7,109,6,130
34084,banksia_integrifolia,400,2,385,96,6,92
34084,banksia_integrifolia,400,3,419.1,107,8,90
34084,banksia_integrifolia,400,4,402.3,112,8,80
34084,banksia_integrifolia,400,5,400.1,98,6,60
34084,banksia_integrifolia,400,6,447.7,117,8,80
34084,banksia_integrifolia,400,7,369.4,119,11,105
34084,banksia_integrifolia,400,8,424.4,95,6,65
34084,banksia_integrifolia,400,9,361,114,10,90
34084,banksia_integrifolia,400,10,414.1,126,14,125
34796,eucalyptus_saligna,100,1,413.1,80,4,95
34796,eucalyptus_saligna,100,2,404.4,75,5,105
34796,eucalyptus_saligna,100,3,480.4,87,5,85
34796,eucalyptus_saligna,100,4,415.7,80,5,90
34796,eucalyptus_saligna,100,5,448.9,70,3,110
34796,eucalyptus_saligna,100,6,345.7,75,4,100
34796,eucalyptus_saligna,100,7,423.4,80,4,110
34796,eucalyptus_saligna,100,8,498.4,84,5,80
34796,eucalyptus_saligna,100,9,446.3,78,6,95
34796,eucalyptus_saligna,100,10,488.1,85,5,90
34041,fraxinus_griffithii,100,1,259.9,80,4,70
34041,fraxinus_griffithii,100,2,291.8,78,3,80
34041,fraxinus_griffithii,100,3,250.6,80,5,70
34041,fraxinus_griffithii,100,4,264.8,70,6,80
34041,fraxinus_griffithii,100,5,287.1,77,6,65
34041,fraxinus_griffithii,100,6,239,65,6,77
34041,fraxinus_griffithii,100,7,261.5,68,5,80
34041,fraxinus_griffithii,100,8,261.4,80,6,84
34041,fraxinus_griffithii,100,9,249.2,75,5,67
34041,fraxinus_griffithii,100,10,266,84,4,85
33923,jacaranda_mimosifolia,100,1,299.1,139,6,80
33923,jacaranda_mimosifolia,100,2,307.6,150,6,40
33923,jacaranda_mimosifolia,100,3,351.8,140,1,30
33923,jacaranda_mimosifolia,100,4,334.7,84,3,45
33923,jacaranda_mimosifolia,100,5,327.1,114,5,60
33923,jacaranda_mimosifolia,100,6,311.4,100,5,70
33923,jacaranda_mimosifolia,100,7,355.7,120,3,90
33923,jacaranda_mimosifolia,100,8,287.6,118,3,30
33923,jacaranda_mimosifolia,100,9,299.6,80,4,55
33923,jacaranda_mimosifolia,100,10,341.8,95,5,70
33032,banksia_integrifolia,45,1,285.8,37,3,100
33033,banksia_integrifolia,45,2,164.5,65,3,50
33034,banksia_integrifolia,45,3,175.1,47,4,37
33035,banksia_integrifolia,45,4,198.4,107,6,40
33036,banksia_integrifolia,45,5,195.1,55,10,49
33037,banksia_integrifolia,45,6,349.5,44,3,42
960,fraxinus_griffithii,45,1,278,53,6,76
960,fraxinus_griffithii,45,2,239.4,77,5,78
960,fraxinus_griffithii,45,3,211.4,64,5,73
960,fraxinus_griffithii,45,4,203.2,81,6,62
960,fraxinus_griffithii,45,5,174.6,65,4,58
26658,ulmus_parvifolia,800,1,398.5,124,4,140
26658,ulmus_parvifolia,800,2,391.6,120,4,180
26658,ulmus_parvifolia,800,3,377.8,113,4,200
26658,ulmus_parvifolia,800,4,404.1,122,4,150
26658,ulmus_parvifolia,800,5,344.8,125,5,160
26162,waterhousea_floribunda,75,1,221.9,15,6,50
26162,waterhousea_floribunda,75,2,180,15,6,40
26162,waterhousea_floribunda,75,3,189.2,15,6,80
26162,waterhousea_floribunda,75,4,189.2,20,5,63
26162,waterhousea_floribunda,75,5,191.7,15,3,67
26162,waterhousea_floribunda,75,6,213,10,5,70
26162,waterhousea_floribunda,75,7,238.3,10,7,65
26083,waterhousea_floribunda,100,1,251.4,13,5,50
26779,araucaria_heterophylla,100,1,321.1,79,10,110
26779,araucaria_heterophylla,100,2,329.9,69,17,98
26779,araucaria_heterophylla,100,3,355.1,70,16,59
26779,araucaria_heterophylla,100,4,351.4,70,11,90
26779,araucaria_heterophylla,100,5,364.5,75,10,100
26779,araucaria_heterophylla,100,6,351.2,73,11,89
26779,araucaria_heterophylla,100,7,377.8,75,10,100
26779,araucaria_heterophylla,100,8,376.6,76,12,98
26779,araucaria_heterophylla,100,9,316.7,75,9,107
26779,araucaria_heterophylla,100,10,353.1,65,8,106
34994,tristaniopsis_laurina_luscious,75,1,220.6,43,2,42
34994,tristaniopsis_laurina_luscious,75,2,220.6,36,2,50
34994,tristaniopsis_laurina_luscious,75,3,202.5,37,5,48
34994,tristaniopsis_laurina_luscious,75,4,213.6,47,4,65
34994,tristaniopsis_laurina_luscious,75,5,241.7,42,5,54
34994,tristaniopsis_laurina_luscious,75,6,230.1,41,5,44
34994,tristaniopsis_laurina_luscious,75,7,223.8,52,6,48
34994,tristaniopsis_laurina_luscious,75,8,223.8,56,7,50
34994,tristaniopsis_laurina_luscious,75,9,234.1,57,3,36
34994,tristaniopsis_laurina_luscious,75,10,227.9,43,10,42
33924,brachychiton_acerifolius,100,1,420.5,210,2,80
33924,brachychiton_acerifolius,100,2,404.8,200,3,50
33924,brachychiton_acerifolius,100,3,360.8,205,8,90
33924,brachychiton_acerifolius,100,4,425.4,204,5,75
33924,brachychiton_acerifolius,100,5,393.9,210,8,90
33924,brachychiton_acerifolius,100,6,387.2,220,10,110
33924,brachychiton_acerifolius,100,7,404,122,3,98
33924,brachychiton_acerifolius,100,8,426.7,200,8,60
33924,brachychiton_acerifolius,100,9,425.8,196,3,45
33924,brachychiton_acerifolius,100,10,391.5,148,2,60
34182,brachychiton_acerifolius,75,1,238.1,120,7,39
34182,brachychiton_acerifolius,75,2,207.9,130,8,46
34182,brachychiton_acerifolius,75,3,251.1,155,9,30
34182,brachychiton_acerifolius,75,4,217,151,11,36
34182,brachychiton_acerifolius,75,5,246.4,158,10,32
34182,brachychiton_acerifolius,75,6,246.4,132,1,33
34182,brachychiton_acerifolius,75,7,238.6,81,4,63
34182,brachychiton_acerifolius,75,8,291.3,152,7,35
34182,brachychiton_acerifolius,75,9,209.1,60,3,62
34182,brachychiton_acerifolius,75,10,246.6,162,5,40
34802,corymbia_maculata,1000,1,564.3,168,1,120
34802,corymbia_maculata,1000,2,740,166,4,120
34802,corymbia_maculata,1000,3,610,220,3,110
34802,corymbia_maculata,1000,4,740,180,4,115
34802,corymbia_maculata,1000,5,731,205,4,130
34802,corymbia_maculata,1000,6,655,244,3,170
34802,corymbia_maculata,1000,7,663,192,2,110
34802,corymbia_maculata,1000,8,692,207,3,120
34802,corymbia_maculata,1000,9,623,221,1,130
34802,corymbia_maculata,1000,10,734,196,3,150
35552,lophostemon_confertus,800,1,533.6,120,3,130
35552,lophostemon_confertus,800,2,636,126,3,110
35552,lophostemon_confertus,800,3,574.3,152,3,115
35552,lophostemon_confertus,800,4,574,184,1,120
35552,lophostemon_confertus,800,5,536.4,188,5,120
35552,lophostemon_confertus,800,6,558.5,168,6,130
35552,lophostemon_confertus,800,7,558.5,147,2,120
35552,lophostemon_confertus,800,8,488,154,4,130
35552,lophostemon_confertus,800,9,567.9,113,2,110
35552,lophostemon_confertus,800,10,558.9,122,2,110
739,eucalyptus_saligna,45,1,309.7,93,5,60
739,eucalyptus_saligna,45,2,607.4,70,8,62
739,eucalyptus_saligna,45,3,333.3,50,8,56
739,eucalyptus_saligna,45,4,317,52,7,42
739,eucalyptus_saligna,45,5,341.7,60,8,59
739,eucalyptus_saligna,45,6,321.7,59,8,74
739,eucalyptus_saligna,45,7,321,115,6,92
739,eucalyptus_saligna,45,8,311.9,65,7,108
739,eucalyptus_saligna,45,9,280.4,67,5,86
739,eucalyptus_saligna,45,10,303.4,45,7,105
740,eucalyptus_pilularis,45,1,204.5,32,10,50
740,eucalyptus_pilularis,45,2,277,45,8,48
740,eucalyptus_pilularis,45,3,281.5,32,10,62
740,eucalyptus_pilularis,45,4,292,28,8,53
740,eucalyptus_pilularis,45,5,275,38,8,52
740,eucalyptus_pilularis,45,6,290.8,37,7,60
740,eucalyptus_pilularis,45,7,246,58,8,70
740,eucalyptus_pilularis,45,8,311.6,63,6,50
740,eucalyptus_pilularis,45,9,300.8,47,9,52
34042,banksia_integrifolia,75,1,266.1,110,12,40
34042,banksia_integrifolia,75,2,253.4,110,10,60
34042,banksia_integrifolia,75,3,287.8,128,7,40
34042,banksia_integrifolia,75,4,237.6,100,10,70
34042,banksia_integrifolia,75,5,258.9,127,5,50
34042,banksia_integrifolia,75,6,336.8,92,4,48
34042,banksia_integrifolia,75,7,363,105,2,50
34042,banksia_integrifolia,75,8,286.4,124,5,44
34042,banksia_integrifolia,75,9,312.7,110,7,70
34042,banksia_integrifolia,75,10,326.8,127,6,56
33117,brachychiton_acerifolius,45,1,225.7,100,6,62
33117,brachychiton_acerifolius,45,2,217.8,42,6,40
33117,brachychiton_acerifolius,45,3,189.9,120,10,42
33117,brachychiton_acerifolius,45,4,226.1,96,4,73
33117,brachychiton_acerifolius,45,5,165.2,72,2,23
33117,brachychiton_acerifolius,45,6,254.8,123,6,90
33117,brachychiton_acerifolius,45,7,185.5,62,4,56
33117,brachychiton_acerifolius,45,8,175.5,82,3,54
33117,brachychiton_acerifolius,45,9,255,186,7,45
33117,brachychiton_acerifolius,45,10,207,99,11,57
2141,magnolia_grandiflora_exmouth,400,1,354.4,77,5,110
2141,magnolia_grandiflora_exmouth,400,2,391,90,7,129
2141,magnolia_grandiflora_exmouth,400,3,407,90,6,102
33467,eucalyptus_saligna,400,1,533,76,6,85
33467,eucalyptus_saligna,400,2,640,73,4,105
33467,eucalyptus_saligna,400,3,507,70,4,102
33467,eucalyptus_saligna,400,4,621.5,71,4,140
35753,corymbia_maculata,45,1,159,21,4,42
35753,corymbia_maculata,45,2,195,26,6,41
35753,corymbia_maculata,45,3,183,19,6,48
35753,corymbia_maculata,45,4,134,19,8,47
35753,corymbia_maculata,45,5,176,19,8,48
35753,corymbia_maculata,45,6,174.1,22,9,38
35753,corymbia_maculata,45,7,244,28,5,42
35753,corymbia_maculata,45,8,194,20,6,46
35753,corymbia_maculata,45,9,201,24,7,50
35753,corymbia_maculata,45,10,180,12,7,35
26706,waterhousea_floribunda,200,1,373.5,39,7,70
26706,waterhousea_floribunda,200,2,351.5,27,5,71
26706,waterhousea_floribunda,200,3,314,15,8,50
26706,waterhousea_floribunda,200,4,283.4,21,5,64
26706,waterhousea_floribunda,200,5,329.7,20,8,110
26706,waterhousea_floribunda,200,6,336,23,8,77
32821,banksia_integrifolia,200,1,383.5,114,3,50
32822,banksia_integrifolia,200,2,355.7,143,8,80
32823,banksia_integrifolia,200,3,365.8,93,9,82
33572,magnolia_grandiflora_littlegem,200,1,2799.9,35,5,61
33572,magnolia_grandiflora_littlegem,200,2,261.1,34,6,51
33572,magnolia_grandiflora_littlegem,200,3,258.6,30,7,71
33572,magnolia_grandiflora_littlegem,200,4,270.4,28,8,65
33572,magnolia_grandiflora_littlegem,200,5,261.7,31,4,70
33572,magnolia_grandiflora_littlegem,200,6,267.6,37,8,47
33572,magnolia_grandiflora_littlegem,200,7,285.8,18,8,63
33572,magnolia_grandiflora_littlegem,200,8,276.4,33,6,65
33572,magnolia_grandiflora_littlegem,200,9,301.4,33,6,72
33572,magnolia_grandiflora_littlegem,200,10,285.9,26,8,73
35757,brachychiton_acerifolius,200,1,344.7,94,3,70
35757,brachychiton_acerifolius,200,2,421.7,124,3,92
35757,brachychiton_acerifolius,200,3,380.4,129,4,100
34137,banksia_integrifolia,15,1,92,40,10,39
34137,banksia_integrifolia,15,2,129,28,5,34
34137,banksia_integrifolia,15,3,115.7,10,6,44
34137,banksia_integrifolia,15,4,159.1,10,3,30
34137,banksia_integrifolia,15,5,160.8,23,3,39
34137,banksia_integrifolia,15,6,195,15,5,37
34137,banksia_integrifolia,15,7,127.2,30,7,50
34137,banksia_integrifolia,15,8,118.4,4,6,37
34137,banksia_integrifolia,15,9,117.2,22,14,41
34937,eucalyptus_pilularis,300,1,361.4,100,7,98
34937,eucalyptus_pilularis,300,2,385,94,6,100
34937,eucalyptus_pilularis,300,3,335,95,7,90
34937,eucalyptus_pilularis,300,4,391.1,98,8,80
34179,eucalyptus_saligna,800,1,610,214,2,170
34179,eucalyptus_saligna,800,2,499.7,182,4,154
34179,eucalyptus_saligna,800,3,558.6,174,2,136
34179,eucalyptus_saligna,800,4,557,200,2,155
34179,eucalyptus_saligna,800,5,604,225,4,200
34179,eucalyptus_saligna,800,6,633.5,250,4,200
34179,eucalyptus_saligna,800,7,571.1,170,4,180
34179,eucalyptus_saligna,800,8,587.2,180,5,200
26749,olea_europea,15,1,158.1,34,5,68
26749,olea_europea,15,2,174.9,50,3,43
26749,olea_europea,15,3,164,38,5,116
26749,olea_europea,15,4,169.1,44,6,74
26749,olea_europea,15,5,221,53,10,79.5
26749,olea_europea,15,6,212.9,46,6,65
26749,olea_europea,15,7,152.6,40,5,87
26749,olea_europea,15,8,168.6,65,6,70
26749,olea_europea,15,9,193.1,42,10,98
26749,olea_europea,15,10,178.2,38,6,83
35468,olea_europea,35,1,204.6,43,7,78
35468,olea_europea,35,2,233.8,34,7,65
35468,olea_europea,35,3,232.8,33,5,89
35468,olea_europea,35,4,268.9,42,4,68
35468,olea_europea,35,5,239.4,36,5,79
35468,olea_europea,35,6,214.4,46,6,65
35468,olea_europea,35,7,232.9,36,6,96
35468,olea_europea,35,8,233.4,46,3,78
35468,olea_europea,35,9,224.3,25,5,64
35468,olea_europea,35,10,236.5,24,5,77
